GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,hallo,Groceries,0,64,0,0,0,24,0,13,0,13
server,hallo,Electricity,0,89,0,0,0,32,0,17,0,17
server,hallo,Transport,0,76,0,0,0,28,0,15,0,15
server,hallo,Food,0,64,0,0,0,24,0,13,0,13
server,hallo,TransportController,25,0,0,0,6,0,4,0,4,0
server,hallo,GroceriesController,20,0,0,0,4,0,3,0,3,0
server,hallo,FoodController,20,0,0,0,4,0,3,0,3,0
server,hello,FriendshipController,56,0,0,0,11,0,5,0,5,0
server,hello,GreetingController,126,0,6,0,32,0,15,0,12,0
server,hello,Activity,6,96,4,4,3,34,4,15,0,15
server,hello,Friendship,36,0,0,0,14,0,8,0,8,0
server,hello,User,0,92,0,0,0,29,0,15,0,15
server,hello,Application,8,0,0,0,3,0,2,0,2,0
server,hello,FriendRequest,40,0,0,0,17,0,9,0,9,0
