GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,css,CsspolarBadge,253,0,20,0,81,0,21,0,11,0
client,css,CsselectricityBadge,253,0,20,0,81,0,21,0,11,0
client,css,CssTable,7,0,0,0,3,0,2,0,2,0
client,css,Css,80,0,0,0,29,0,8,0,8,0
client,css,CsstransportBadge,253,0,20,0,81,0,21,0,11,0
client,css,CssfoodBadge,253,0,20,0,81,0,21,0,11,0
client,classes,RestfulClient,469,0,0,0,101,0,21,0,21,0
client,classes,Electricity,0,43,0,0,0,19,0,10,0,10
client,classes,User,7,113,0,0,3,34,2,17,2,17
client,classes,FriendRequest,6,40,0,0,2,17,1,9,1,9
client,classes,Controller,164,0,0,0,37,0,21,0,21,0
client,classes,Meal,26,0,0,0,12,0,6,0,6,0
client,classes,Friend,38,0,0,0,14,0,7,0,7,0
client,classes,Transport,0,56,0,0,0,24,0,12,0,12
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,Activity,0,108,2,6,0,45,2,21,0,17
client,classes,UserBadge,268,0,84,0,172,0,86,0,4,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,Statistics,58,0,0,0,23,0,13,0,13,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,Badges,218,0,72,0,86,0,42,0,6,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,classes,RestfulClient.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
client,client,AchievementsTransport,381,0,18,0,94,0,22,0,13,0
client,client,BoxElectricity,526,0,16,0,130,0,17,0,9,0
client,client,Calculator,6,84,1,11,1,19,1,10,0,5
client,client,Piechart,223,0,8,0,38,0,7,0,3,0
client,client,BoxTransport,270,0,0,0,62,0,5,0,5,0
client,client,Hash,3,64,0,2,1,11,1,4,1,3
client,client,FootPrint,426,0,2,0,92,0,8,0,7,0
client,client,Home,418,0,4,0,96,0,15,0,13,0
client,client,AchievementsFood,384,0,18,0,95,0,23,0,14,0
client,client,Statistics,210,0,8,0,39,0,6,0,2,0
client,client,BoxConfirm,89,0,0,0,24,0,4,0,4,0
client,client,Friends,474,0,10,0,97,0,15,0,10,0
client,client,Signup,358,0,10,0,93,0,9,0,4,0
client,client,Home.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
client,client,Leaderboard,141,0,2,0,29,0,5,0,4,0
client,client,Achievements,192,0,0,0,40,0,2,0,2,0
client,client,BoxFood,449,0,12,0,98,0,13,0,7,0
client,client,ValidatePassword,3,87,0,28,1,20,1,15,1,1
client,client,Main,509,0,2,0,55,0,6,0,5,0
client,client,AchievementsElectricity,381,0,18,0,94,0,22,0,13,0
client,client,AchievementsPolar,392,0,18,0,96,0,22,0,13,0
client,client,BoxAddFriend,92,0,0,0,25,0,5,0,5,0
client,client,Login,279,0,2,0,68,0,5,0,4,0
client,client,BoxAlert,68,0,0,0,16,0,3,0,3,0
